system,time_point,organization_level
Kuramoto,0,5.8819
Kuramoto,1,6.4294
Kuramoto,2,5.4042
Kuramoto,3,5.1873
Kuramoto,4,6.4261
Kuramoto,5,6.5440
Kuramoto,6,6.5253
Kuramoto,7,6.3274
Kuramoto,8,6.2374
Kuramoto,9,4.7979
Kuramoto,10,3.9204
Kuramoto,11,4.4392
Kuramoto,12,6.2960
Kuramoto,13,6.5280
Kuramoto,14,6.5615
Kuramoto,15,6.6757
Kuramoto,16,6.7426
Kuramoto,17,6.7123
Kuramoto,18,6.7203
Kuramoto,19,6.7082
Kuramoto,20,6.8147
Kuramoto,21,6.7251
Kuramoto,22,6.7221
Kuramoto,23,6.7255
Kuramoto,24,6.7541
Kuramoto,25,6.7596
Kuramoto,26,6.7249
Kuramoto,27,6.7790
Kuramoto,28,6.7426
Kuramoto,29,6.7402
Kuramoto,30,6.6115
Kuramoto,31,5.1101
Kuramoto,32,3.6686
Kuramoto,33,6.3309
Kuramoto,34,6.7343
Kuramoto,35,6.7823
Kuramoto,36,6.7530
Kuramoto,37,6.7401
Kuramoto,38,6.7629
Kuramoto,39,6.7423
Kuramoto,40,6.7927
Kuramoto,41,6.8106
Kuramoto,42,6.7955
Kuramoto,43,6.8033
Kuramoto,44,6.7203
Kuramoto,45,6.7437
Kuramoto,46,6.7482
Kuramoto,47,6.7802
Kuramoto,48,6.6820
Kuramoto,49,6.6318
Kuramoto,50,6.5702
Kuramoto,51,5.6173
Kuramoto,52,3.9306
Kuramoto,53,4.5538
Kuramoto,54,6.2484
Kuramoto,55,6.6681
Kuramoto,56,6.6274
Kuramoto,57,6.5905
Kuramoto,58,6.6255
Kuramoto,59,6.6845
Kuramoto,60,6.5687
Kuramoto,61,6.6765
Kuramoto,62,6.7287
Kuramoto,63,6.8092
Kuramoto,64,6.8474
Kuramoto,65,6.7893
Kuramoto,66,6.7833
Kuramoto,67,6.8174
Kuramoto,68,6.7693
Kuramoto,69,6.7093
Kuramoto,70,6.5617
Kuramoto,71,6.6654
Kuramoto,72,6.7332
Kuramoto,73,5.8204
Kuramoto,74,2.9370
Kuramoto,75,4.9281
Kuramoto,76,6.4247
Kuramoto,77,6.5516
Kuramoto,78,6.5076
Kuramoto,79,6.6776
Kuramoto,80,6.7767
Kuramoto,81,6.7908
Kuramoto,82,6.7971
Kuramoto,83,6.6179
Kuramoto,84,6.6198
Kuramoto,85,6.4166
Kuramoto,86,6.4888
Kuramoto,87,6.6367
Kuramoto,88,6.7283
Kuramoto,89,6.7111
Kuramoto,90,6.7271
Kuramoto,91,6.5695
Kuramoto,92,6.5820
Kuramoto,93,6.5033
Kuramoto,94,6.7397
Kuramoto,95,6.6290
Kuramoto,96,4.8449
Kuramoto,97,3.8163
Kuramoto,98,6.5432
Kuramoto,99,6.7096
Kuramoto,100,6.7386
Kuramoto,101,6.7469
Kuramoto,102,6.7865
Kuramoto,103,6.7888
Kuramoto,104,6.6984
Kuramoto,105,6.7153
Kuramoto,106,6.7510
Kuramoto,107,6.8009
Kuramoto,108,6.8322
Kuramoto,109,6.7900
Kuramoto,110,6.6896
Kuramoto,111,6.6454
Kuramoto,112,6.7159
Kuramoto,113,6.7294
Kuramoto,114,6.7057
Kuramoto,115,6.4774
Kuramoto,116,5.1271
Kuramoto,117,3.3824
Kuramoto,118,4.3667
Kuramoto,119,6.6536
Kuramoto,120,6.7621
Kuramoto,121,6.8102
Kuramoto,122,6.7298
Kuramoto,123,6.7755
Kuramoto,124,6.7464
Kuramoto,125,6.7565
Kuramoto,126,6.7928
Kuramoto,127,6.7266
Kuramoto,128,6.7631
Kuramoto,129,6.7404
Kuramoto,130,6.7253
Kuramoto,131,6.6907
Kuramoto,132,6.6276
Kuramoto,133,6.6493
Kuramoto,134,6.7895
Kuramoto,135,6.7467
Kuramoto,136,6.7064
Kuramoto,137,5.7484
Kuramoto,138,3.8218
Kuramoto,139,4.4219
Kuramoto,140,6.4307
Kuramoto,141,6.7469
Kuramoto,142,6.7899
Kuramoto,143,6.7515
Kuramoto,144,6.7545
Kuramoto,145,6.7871
Kuramoto,146,6.8398
Kuramoto,147,6.8239
Kuramoto,148,6.8514
Kuramoto,149,6.8152
Kuramoto,150,6.7854
Kuramoto,151,6.8030
Kuramoto,152,6.7902
Kuramoto,153,6.7688
Kuramoto,154,6.7556
Kuramoto,155,6.7472
Kuramoto,156,6.6569
Kuramoto,157,6.4169
Kuramoto,158,4.5343
Kuramoto,159,3.1481
Kuramoto,160,6.2898
Kuramoto,161,6.7108
Kuramoto,162,6.7992
Kuramoto,163,6.8373
Kuramoto,164,6.8542
Kuramoto,165,6.8477
Kuramoto,166,6.7752
Kuramoto,167,6.7964
Kuramoto,168,6.7539
Kuramoto,169,6.6886
Kuramoto,170,6.7219
Kuramoto,171,6.7561
Kuramoto,172,6.7481
Kuramoto,173,6.6634
Kuramoto,174,6.5683
Kuramoto,175,6.6512
Kuramoto,176,6.5449
Kuramoto,177,6.7087
Kuramoto,178,6.6099
Kuramoto,179,6.3628
Kuramoto,180,3.3609
Kuramoto,181,4.5546
Kuramoto,182,6.3742
Kuramoto,183,6.6242
Kuramoto,184,6.6692
Kuramoto,185,6.6090
Kuramoto,186,6.6212
Kuramoto,187,6.7882
Kuramoto,188,6.8020
Kuramoto,189,6.7780
Kuramoto,190,6.6597
Kuramoto,191,6.5574
Kuramoto,192,6.6528
Kuramoto,193,6.7140
Kuramoto,194,6.7933
Kuramoto,195,6.7964
Kuramoto,196,6.7301
Kuramoto,197,6.6424
Kuramoto,198,6.5781
Kuramoto,199,6.5989
Kuramoto,200,6.2319
Kuramoto,201,4.2364
Kuramoto,202,5.0609
Kuramoto,203,6.4577
Kuramoto,204,6.7643
Kuramoto,205,6.7814
Kuramoto,206,6.7797
Kuramoto,207,6.6856
Kuramoto,208,6.7300
Kuramoto,209,6.7605
Kuramoto,210,6.7774
Kuramoto,211,6.7422
Kuramoto,212,6.7302
Kuramoto,213,6.7496
Kuramoto,214,6.7940
Kuramoto,215,6.8277
Kuramoto,216,6.8329
Kuramoto,217,6.7759
Kuramoto,218,6.7424
Kuramoto,219,6.6341
Kuramoto,220,6.6182
Kuramoto,221,6.1413
Kuramoto,222,3.8691
Kuramoto,223,5.1452
Kuramoto,224,6.7012
Kuramoto,225,6.7163
Kuramoto,226,6.6948
Kuramoto,227,6.7314
Kuramoto,228,6.7531
Kuramoto,229,6.7582
Kuramoto,230,6.7511
Kuramoto,231,6.7390
Kuramoto,232,6.7733
Kuramoto,233,6.7908
Kuramoto,234,6.7931
Kuramoto,235,6.6355
Kuramoto,236,6.6988
Kuramoto,237,6.7281
Kuramoto,238,6.7274
Kuramoto,239,6.6634
Kuramoto,240,6.6355
Kuramoto,241,6.6672
Kuramoto,242,6.5862
Kuramoto,243,4.8800
Kuramoto,244,3.0237
Kuramoto,245,6.1163
Kuramoto,246,6.6170
Kuramoto,247,6.6747
Kuramoto,248,6.7147
Kuramoto,249,6.7425
Kuramoto,250,6.7354
Kuramoto,251,6.7493
Kuramoto,252,6.7785
Kuramoto,253,6.6669
Kuramoto,254,6.7123
Kuramoto,255,6.7546
Kuramoto,256,6.7731
Kuramoto,257,6.8221
Kuramoto,258,6.8560
Kuramoto,259,6.8334
Kuramoto,260,6.8124
Kuramoto,261,6.7732
Kuramoto,262,6.7908
Kuramoto,263,6.7827
Kuramoto,264,6.2836
Kuramoto,265,3.7542
Kuramoto,266,5.8355
Kuramoto,267,6.7094
Kuramoto,268,6.7905
Kuramoto,269,6.8281
Kuramoto,270,6.8331
Kuramoto,271,6.8199
Kuramoto,272,6.7666
Kuramoto,273,6.7723
Kuramoto,274,6.7631
Kuramoto,275,6.7825
Kuramoto,276,6.7816
Kuramoto,277,6.7259
Kuramoto,278,6.7518
Kuramoto,279,6.6853
Kuramoto,280,6.7065
Kuramoto,281,6.7812
Kuramoto,282,6.7899
Kuramoto,283,6.7363
Kuramoto,284,6.3629
Kuramoto,285,3.7061
Kuramoto,286,4.8379
Kuramoto,287,6.2724
Kuramoto,288,6.5108
Kuramoto,289,6.7150
Kuramoto,290,6.8112
Kuramoto,291,6.8539
Kuramoto,292,6.8406
Kuramoto,293,6.7276
Kuramoto,294,6.7345
Kuramoto,295,6.7411
Logistic,0,0.4583
Logistic,1,0.4773
Logistic,2,0.4967
Logistic,3,0.4577
Logistic,4,0.4952
Logistic,5,0.3309
Logistic,6,0.3724
Logistic,7,0.3523
Logistic,8,0.4066
Logistic,9,0.4018
Logistic,10,0.4723
Logistic,11,0.4589
Logistic,12,0.4530
Logistic,13,0.3666
Logistic,14,0.3965
Logistic,15,0.3956
Logistic,16,0.4750
Logistic,17,0.4813
Logistic,18,0.5420
Logistic,19,0.4256
Logistic,20,0.4082
Logistic,21,0.4474
Logistic,22,0.3648
Logistic,23,0.3895
Logistic,24,0.3810
Logistic,25,0.3788
Logistic,26,0.5387
Logistic,27,0.4811
Logistic,28,0.4044
Logistic,29,0.4488
Logistic,30,0.6625
Logistic,31,0.6540
Logistic,32,0.6092
Logistic,33,0.3551
Logistic,34,0.3747
Logistic,35,0.4287
Logistic,36,0.3743
Logistic,37,0.4387
Logistic,38,0.4197
Logistic,39,0.6141
Logistic,40,0.6053
Logistic,41,0.5135
Logistic,42,0.4555
Logistic,43,0.4626
Logistic,44,0.4473
Logistic,45,0.3877
Logistic,46,0.4567
Logistic,47,0.5341
Logistic,48,0.3425
Logistic,49,0.3913
Logistic,50,0.4240
Logistic,51,0.4076
Logistic,52,0.4207
Logistic,53,0.4149
Logistic,54,0.3876
Logistic,55,0.4702
Logistic,56,0.3936
Logistic,57,0.4204
Logistic,58,0.3286
Logistic,59,0.4700
Logistic,60,0.4841
Logistic,61,0.5634
Logistic,62,0.5046
Logistic,63,0.4122
Logistic,64,0.3481
Logistic,65,0.4224
Logistic,66,0.4007
Logistic,67,0.4176
Logistic,68,0.2601
Logistic,69,0.4426
Logistic,70,0.4843
Logistic,71,0.5139
Logistic,72,0.4555
Logistic,73,0.2530
Logistic,74,0.2915
Logistic,75,0.3674
Logistic,76,0.3498
Logistic,77,0.3930
Logistic,78,0.5536
Logistic,79,0.4558
Logistic,80,0.4691
Logistic,81,0.4568
Logistic,82,0.4063
Logistic,83,0.4480
Logistic,84,0.4033
Logistic,85,0.4851
Logistic,86,0.4529
Logistic,87,0.4367
Logistic,88,0.3677
Logistic,89,0.3543
Logistic,90,0.5358
Logistic,91,0.5295
Logistic,92,0.5485
Logistic,93,0.4777
Logistic,94,0.4593
Logistic,95,0.4307
Logistic,96,0.4272
Logistic,97,0.5046
Logistic,98,0.5634
Logistic,99,0.4837
Logistic,100,0.4069
Logistic,101,0.4385
Logistic,102,0.4468
Logistic,103,0.5130
Logistic,104,0.7072
Logistic,105,0.6733
Logistic,106,0.5370
Logistic,107,0.3994
Logistic,108,0.4267
Logistic,109,0.6168
Logistic,110,0.4349
Logistic,111,0.4263
Logistic,112,0.4242
Logistic,113,0.4298
Logistic,114,0.4707
Logistic,115,0.5714
Logistic,116,0.4788
Logistic,117,0.4907
Logistic,118,0.3406
Logistic,119,0.3684
Logistic,120,0.4107
Logistic,121,0.5571
Logistic,122,0.5002
Logistic,123,0.4252
Logistic,124,0.4218
Logistic,125,0.4729
Logistic,126,0.5795
Logistic,127,0.4246
Logistic,128,0.3398
Logistic,129,0.3677
Logistic,130,0.4197
Logistic,131,0.3685
Logistic,132,0.3236
Logistic,133,0.3947
Logistic,134,0.3705
Logistic,135,0.4424
Logistic,136,0.5436
Logistic,137,0.5996
Logistic,138,0.5059
Logistic,139,0.4247
Logistic,140,0.4140
Logistic,141,0.4934
Logistic,142,0.4255
Logistic,143,0.4213
Logistic,144,0.3704
Logistic,145,0.2883
Logistic,146,0.3420
Logistic,147,0.3141
Logistic,148,0.4306
Logistic,149,0.3639
Logistic,150,0.5134
Logistic,151,0.2688
Logistic,152,0.3125
Logistic,153,0.3774
Logistic,154,0.4302
Logistic,155,0.3429
Logistic,156,0.5288
Logistic,157,0.6235
Logistic,158,0.7001
Logistic,159,0.5867
Logistic,160,0.4700
Logistic,161,0.5543
Logistic,162,0.5272
Logistic,163,0.3583
Logistic,164,0.2728
Logistic,165,0.3736
Logistic,166,0.4955
Logistic,167,0.5384
Logistic,168,0.4739
Logistic,169,0.5074
Logistic,170,0.3672
Logistic,171,0.4291
Logistic,172,0.4444
Logistic,173,0.4889
Logistic,174,0.4609
Logistic,175,0.3891
Logistic,176,0.5240
Logistic,177,0.4674
Logistic,178,0.3356
Logistic,179,0.2919
Logistic,180,0.3862
Logistic,181,0.3599
Logistic,182,0.3619
Logistic,183,0.3874
Logistic,184,0.3212
Logistic,185,0.3647
Logistic,186,0.4210
Logistic,187,0.5399
Logistic,188,0.4716
Logistic,189,0.3971
Logistic,190,0.4831
Logistic,191,0.5231
Logistic,192,0.4092
Logistic,193,0.4106
Logistic,194,0.5026
Logistic,195,0.5072
Logistic,196,0.3977
Logistic,197,0.4292
Logistic,198,0.4318
Logistic,199,0.4229
Logistic,200,0.3151
Logistic,201,0.2931
Logistic,202,0.4205
Logistic,203,0.5298
Logistic,204,0.6119
Logistic,205,0.6132
Logistic,206,0.4359
Logistic,207,0.4024
Logistic,208,0.4426
Logistic,209,0.4195
Logistic,210,0.4641
Logistic,211,0.4135
Logistic,212,0.4392
Logistic,213,0.4085
Logistic,214,0.5009
Logistic,215,0.3604
Logistic,216,0.3494
Logistic,217,0.5130
Logistic,218,0.4996
Logistic,219,0.3368
Logistic,220,0.3559
Logistic,221,0.3319
Logistic,222,0.3126
Logistic,223,0.5440
Logistic,224,0.4356
Logistic,225,0.3992
Logistic,226,0.4115
Logistic,227,0.4496
Logistic,228,0.4152
Logistic,229,0.4788
Logistic,230,0.4442
Logistic,231,0.3861
Logistic,232,0.4689
Logistic,233,0.5329
Logistic,234,0.3178
Logistic,235,0.3824
Logistic,236,0.3961
Logistic,237,0.4121
Logistic,238,0.5104
Logistic,239,0.3250
Logistic,240,0.2787
Logistic,241,0.3547
Logistic,242,0.3583
Logistic,243,0.4550
Logistic,244,0.4920
Logistic,245,0.4488
Logistic,246,0.4177
Logistic,247,0.4015
Logistic,248,0.4304
Logistic,249,0.4149
Logistic,250,0.4345
Logistic,251,0.4675
Logistic,252,0.3795
Logistic,253,0.3989
Logistic,254,0.4568
Logistic,255,0.6015
Logistic,256,0.5298
Logistic,257,0.3841
Logistic,258,0.3576
Logistic,259,0.4681
Logistic,260,0.5085
Logistic,261,0.5750
Logistic,262,0.5079
Logistic,263,0.5047
Logistic,264,0.6059
Logistic,265,0.4773
Logistic,266,0.5374
Logistic,267,0.4126
Logistic,268,0.4159
Logistic,269,0.4746
Logistic,270,0.4490
Logistic,271,0.4870
Logistic,272,0.3965
Logistic,273,0.3042
Logistic,274,0.3400
Logistic,275,0.3707
Logistic,276,0.4422
Logistic,277,0.5628
Logistic,278,0.5470
Logistic,279,0.4846
Logistic,280,0.2735
Logistic,281,0.1958
Logistic,282,0.3012
Logistic,283,0.3309
Logistic,284,0.3165
Logistic,285,0.3008
Logistic,286,0.2721
Logistic,287,0.3724
Logistic,288,0.3035
Logistic,289,0.4261
Logistic,290,0.3848
Logistic,291,0.4525
Logistic,292,0.4517
Logistic,293,0.3269
Logistic,294,0.3451
Logistic,295,0.4235
